tour,year,model,top8_hits
ATP,2015,balanced,4
ATP,2015,grass_forward,4
ATP,2015,ranking_forward,4
ATP,2015,form_forward,4
ATP,2016,balanced,5
ATP,2016,grass_forward,5
ATP,2016,ranking_forward,5
ATP,2016,form_forward,5
ATP,2018,balanced,4
ATP,2018,grass_forward,5
ATP,2018,ranking_forward,5
ATP,2018,form_forward,5
ATP,2019,balanced,4
ATP,2019,grass_forward,4
ATP,2019,ranking_forward,4
ATP,2019,form_forward,4
ATP,2021,balanced,2
ATP,2021,grass_forward,2
ATP,2021,ranking_forward,2
ATP,2021,form_forward,2
ATP,2022,balanced,3
ATP,2022,grass_forward,3
ATP,2022,ranking_forward,3
ATP,2022,form_forward,2
ATP,2023,balanced,5
ATP,2023,grass_forward,4
ATP,2023,ranking_forward,5
ATP,2023,form_forward,5
ATP,2025,balanced,4
ATP,2025,grass_forward,4
ATP,2025,ranking_forward,4
ATP,2025,form_forward,4
WTA,2015,balanced,3
WTA,2015,grass_forward,3
WTA,2015,ranking_forward,3
WTA,2015,form_forward,3
WTA,2016,balanced,4
WTA,2016,grass_forward,4
WTA,2016,ranking_forward,4
WTA,2016,form_forward,4
WTA,2017,balanced,3
WTA,2017,grass_forward,3
WTA,2017,ranking_forward,4
WTA,2017,form_forward,4
WTA,2018,balanced,1
WTA,2018,grass_forward,1
WTA,2018,ranking_forward,1
WTA,2018,form_forward,1
WTA,2019,balanced,2
WTA,2019,grass_forward,2
WTA,2019,ranking_forward,2
WTA,2019,form_forward,2
WTA,2021,balanced,3
WTA,2021,grass_forward,3
WTA,2021,ranking_forward,2
WTA,2021,form_forward,4
WTA,2022,balanced,2
WTA,2022,grass_forward,2
WTA,2022,ranking_forward,2
WTA,2022,form_forward,2
WTA,2023,balanced,4
WTA,2023,grass_forward,4
WTA,2023,ranking_forward,5
WTA,2023,form_forward,4
WTA,2024,balanced,1
WTA,2024,grass_forward,1
WTA,2024,ranking_forward,1
WTA,2024,form_forward,1
WTA,2025,balanced,2
WTA,2025,grass_forward,2
WTA,2025,ranking_forward,2
WTA,2025,form_forward,2
